date,open,high,low,close,volume
2010-01-04,4508.9300,4542.7100,4487.3700,4510.5300,5125673600
2010-01-05,4513.4000,4558.2100,4480.1900,4557.4800,5704074400
2010-01-06,4553.3700,4595.1000,4538.7200,4550.2800,5787598000
2010-01-07,4540.0100,4554.9300,4436.7700,4459.1500,5787344000
2010-01-08,4439.2100,4514.7200,4426.2300,4514.4500,4657364800
2010-01-11,4549.3200,4558.4600,4502.9900,4542.9500,5708973200
2010-01-12,4535.3000,4640.3500,4524.6700,4639.6300,6206168800
2010-01-13,4544.4300,4650.0600,4526.8400,4591.0200,6789880800
2010-01-14,4598.4000,4714.8700,4598.4000,4714.1000,6791848000
2010-01-15,4720.2200,4753.1900,4712.6200,4747.6500,5851337200
2010-01-18,4744.3300,4829.3600,4738.9100,4829.0600,6328435600
2010-01-19,4835.8300,4852.3300,4791.9900,4830.0200,6615494400
2010-01-20,4830.4200,4831.7000,4635.6700,4651.0700,7808653600
2010-01-21,4646.6200,4696.1600,4611.7600,4667.2100,5093667600
2010-01-22,4613.1900,4633.3900,4453.6900,4537.8800,6018718400
2010-01-25,4515.1300,4542.7900,4477.1900,4481.1600,4139508400
2010-01-26,4467.5200,4492.6500,4254.3200,4294.3800,4152028000
2010-01-27,4290.7400,4344.1300,4229.5200,4267.1100,3292415200
2010-01-28,4266.0600,4340.4100,4249.7700,4336.3800,3212733000
2010-01-29,4316.2400,4418.4000,4298.6500,4374.6500,3988806400
2010-02-01,4366.4900,4372.5700,4269.3300,4331.3700,4309502800
2010-02-02,4344.0400,4388.3500,4296.8800,4301.7700,3853250400
2010-02-03,4299.9700,4363.6700,4160.3500,4363.0800,4852668000
2010-02-04,4342.6800,4445.7500,4316.8100,4408.4400,5187378400
2010-02-05,4312.5500,4382.3400,4270.7100,4311.2900,4967040400
2010-02-08,4299.2500,4330.2000,4279.6600,4310.8900,3194607600
2010-02-09,4300.3200,4334.3400,4284.5200,4311.8900,2989658000
2010-02-10,4333.8500,4366.5000,4326.0200,4366.2500,2589719600
2010-02-11,4367.7200,4385.2000,4352.1100,4356.5200,2448541000
2010-02-12,4365.6200,4418.5400,4365.4800,4416.2200,2451138000
2010-02-22,4412.5500,4457.2200,4401.0600,4419.5500,3146942600
2010-02-23,4414.0600,4459.7300,4352.4400,4459.1500,3884211200
2010-02-24,4438.4000,4556.7200,4419.4500,4556.2800,4802456800
2010-02-25,4565.7400,4632.9700,4564.0200,4629.9600,5551940800
2010-02-26,4618.6400,4656.9300,4602.0200,4634.6700,4953052000
2010-03-01,4635.9500,4692.8300,4635.9500,4686.2700,5386243600
2010-03-02,4692.6100,4705.1600,4660.1700,4690.2900,5662886000
2010-03-03,4690.4400,4761.5800,4680.3100,4758.4300,6357355200
2010-03-04,4763.6400,4780.0200,4572.0700,4586.5200,6847070400
2010-03-05,4590.8900,4632.0400,4550.1000,4604.5900,5237147600
2010-03-08,4618.8600,4665.0600,4612.2200,4654.5800,4503946800
2010-03-09,4653.0600,4674.5100,4607.8600,4660.1300,4721442800
2010-03-10,4659.5000,4674.0600,4564.4300,4598.9900,4479956000
2010-03-11,4594.5000,4608.6400,4519.0300,4562.8700,3756112000
2010-03-12,4561.6100,4576.0000,4489.5300,4492.8600,3540021200
2010-03-15,4485.8800,4498.1000,4426.1900,4454.7600,2992878000
2010-03-16,4453.8100,4492.0400,4426.6100,4491.4600,2766447600
2010-03-17,4500.4300,4616.1100,4500.2500,4616.0500,4436945200
2010-03-18,4628.0000,4653.6800,4605.9100,4630.9500,4979134800
2010-03-19,4632.0500,4665.9100,4609.0100,4663.9000,4641554400
2010-03-22,4669.4100,4695.0800,4649.5300,4690.2000,4720032000
2010-03-23,4690.2700,4697.7300,4642.9800,4658.6300,4704866800
2010-03-24,4662.9900,4692.3200,4662.5400,4683.0600,4744276800
2010-03-25,4675.2200,4675.2200,4609.1700,4620.7500,4895411600
2010-03-26,4609.7500,4693.7600,4601.6900,4686.9300,4521928000
2010-03-29,4701.7900,4723.7500,4682.4100,4723.6100,5028324000
2010-03-30,4720.5800,4748.9100,4708.4300,4744.4200,4734372400
2010-03-31,4744.3400,4757.3200,4726.5200,4756.1600,4910827600
2010-04-01,4756.3000,4828.1000,4755.9300,4827.2100,6187885600
2010-04-02,4833.8100,4851.9400,4820.0600,4843.1700,5943194400
2010-04-06,4853.3300,4862.1700,4814.2500,4852.9000,5739704800
2010-04-07,4851.8300,4865.7500,4829.0200,4863.6400,5328918400
2010-04-08,4856.4100,4881.9100,4845.6100,4864.9200,5717551200
2010-04-09,4866.5200,4939.4100,4866.2400,4939.1800,5841922400
2010-04-12,4948.1000,4976.8300,4932.6300,4976.3800,7228172000
2010-04-13,4977.7600,4993.3700,4793.2800,4919.8700,7346944000
2010-04-14,4910.7000,4978.2700,4896.5700,4977.5100,5620229200
2010-04-15,4975.0800,4984.3600,4879.9100,4914.7500,5425112400
2010-04-16,4900.6000,4936.8800,4852.4100,4898.6700,4304573600
2010-04-19,4850.8600,4880.5400,4688.1200,4688.8400,5827744800
2010-04-20,4680.2000,4750.4900,4607.2000,4749.9300,5271907200
2010-04-21,4753.1200,4896.6600,4747.3900,4893.9800,6395338400
2010-04-22,4881.2500,4950.4900,4849.5600,4902.4000,6599520800
2010-04-23,4892.0400,4936.7300,4840.1700,4864.1600,5576390000
2010-04-26,4868.7300,4904.9700,4847.9100,4866.5500,4851044800
2010-04-27,4852.1900,4852.1900,4645.1600,4739.2700,5371586800
2010-04-28,4682.3300,4767.8000,4652.8700,4714.4300,4431985600
2010-04-29,4730.4900,4758.7600,4560.1300,4561.4000,4829340000
2010-04-30,4540.6500,4547.4800,4350.1500,4438.6800,4381965600
2010-05-04,4353.4500,4484.4600,4324.5000,4434.1300,3183759200
2010-05-05,4388.5000,4565.2400,4377.3800,4564.8100,4329849600
2010-05-06,4557.4500,4583.1800,4418.7400,4419.7800,4498350000
2010-05-07,4313.6500,4443.5300,4285.4700,4350.7600,4221155200
2010-05-10,4346.7000,4391.0300,4175.6700,4269.1100,4019216000
2010-05-11,4350.7700,4366.6900,4134.6000,4144.3500,4002581200
2010-05-12,4100.6000,4154.4800,3979.1300,4042.5200,3657183600
2010-05-13,4042.3100,4158.3500,3974.1000,4157.8400,3651686400
2010-05-14,4129.8900,4217.6100,4107.1800,4184.8400,3694244000
2010-05-17,4125.6600,4132.3800,3915.7500,3915.7500,3760313200
2010-05-18,3894.0900,3983.8800,3818.2900,3972.1500,3771298400
2010-05-19,3946.1500,4037.8500,3908.6400,3977.3800,3496052000
2010-05-20,3941.6100,4025.8000,3890.3500,3901.2600,3343432400
2010-05-21,3787.1500,3982.4100,3768.1000,3982.3900,4023081200
2010-05-24,4016.3500,4170.7300,4016.3500,4163.4800,5441927600
2010-05-25,4134.9300,4177.7900,4087.1000,4133.3500,4745101600
2010-05-26,4117.4900,4165.2900,4097.2400,4144.6600,3422970800
2010-05-27,4133.3300,4228.4400,4083.6200,4218.6400,4365236000
2010-05-28,4254.8500,4270.1700,4203.4900,4235.3200,4531411200
2010-05-31,4214.6200,4259.1600,4104.3600,4104.3600,4140822000
2010-06-01,4059.4200,4091.4400,3933.3900,4025.7900,3874619200
2010-06-02,4004.1300,4084.0500,3960.3400,4083.6200,3270880000
2010-06-03,4099.8600,4146.6600,4053.5500,4053.9900,3754352800
2010-06-04,4025.2800,4095.4900,4013.9700,4089.0300,3141512400
2010-06-07,4000.6500,4082.3800,3985.1500,4072.5700,3497036000
2010-06-08,4064.7800,4122.3900,4047.8200,4109.3200,3423959600
2010-06-09,4124.8100,4212.1700,4110.4300,4211.8800,4755827200
2010-06-10,4191.2900,4261.1600,4176.4300,4223.5700,4188617200
2010-06-11,4239.0600,4252.1000,4193.0800,4198.0000,3441800800
2010-06-17,4221.6000,4237.1000,4144.0700,4145.2400,2899836200
2010-06-18,4131.6800,4131.6800,3945.7300,3972.2900,3504262400
2010-06-21,3960.2500,4087.4500,3924.4200,4087.0200,3508624000
2010-06-22,4081.6400,4136.5900,4069.2300,4119.7200,3461653600
2010-06-23,4098.2600,4138.7800,4039.9300,4094.5700,3126797600
2010-06-24,4090.9700,4120.8400,4070.4900,4095.2900,2497078800
2010-06-25,4079.1900,4080.0200,3992.3700,4028.4300,2580171600
2010-06-28,4023.1100,4036.4300,3944.4700,3961.3800,2111946800
2010-06-29,3960.6800,3973.9300,3735.1200,3736.9800,3357564400
2010-06-30,3699.1800,3701.3300,3620.2700,3664.4600,2553734000
2010-07-01,3657.9600,3692.9000,3604.3600,3606.5900,2246347000
2010-07-02,3600.7600,3609.0000,3430.3600,3585.5800,3087686800
2010-07-05,3535.7400,3586.5800,3498.9000,3563.8800,2248425200
2010-07-06,3556.1900,3665.3800,3554.0700,3665.3300,2959201200
2010-07-07,3672.1500,3718.9300,3656.3000,3718.6600,2894769200
2010-07-08,3729.2400,3736.5100,3663.7300,3698.3400,2779247200
2010-07-09,3699.3100,3817.6700,3677.3400,3807.6000,4073329600
2010-07-12,3809.7500,3866.7800,3799.4300,3849.5200,4001443600
2010-07-13,3816.4600,3816.4600,3747.4000,3788.7500,3444529600
2010-07-14,3795.2100,3862.3900,3795.1800,3824.0500,3540966000
2010-07-15,3817.1800,3850.2000,3735.2800,3735.4000,3271061200
2010-07-16,3713.6600,3764.8400,3672.0200,3757.4300,2798721200
2010-07-19,3718.1300,3848.6300,3701.9300,3842.3100,3507423600
2010-07-20,3849.0400,3951.5400,3848.7400,3951.3600,5268350400
2010-07-21,3953.7700,4001.4300,3937.4800,3959.4300,5204248800
2010-07-22,3947.9900,4018.0600,3940.4600,4017.8600,4617888400
2010-07-23,4020.9100,4028.5100,3965.7000,4015.4700,4471046400
2010-07-26,4023.0600,4071.4700,4011.7500,4071.0900,4385787200
2010-07-27,4062.2500,4091.3100,4041.9000,4068.8600,4106628400
2010-07-28,4061.0200,4162.6600,4050.1900,4162.3200,5790200800
2010-07-29,4170.7600,4196.0300,4139.9400,4194.0400,6274903600
2010-07-30,4181.2200,4203.6400,4137.2300,4191.1300,4729828800
2010-08-02,4192.6600,4268.4000,4192.5200,4267.9000,5427313600
2010-08-03,4277.2700,4289.4600,4193.3000,4193.6400,5940590400
2010-08-04,4178.1900,4248.2300,4137.6500,4248.0100,5468676000
2010-08-05,4247.0500,4306.6500,4231.4700,4267.9600,5841457600
2010-08-06,4260.6300,4356.2100,4228.6700,4356.0100,6369627600
2010-08-09,4357.1800,4414.5300,4352.9200,4413.5700,5999110400
2010-08-10,4412.2700,4417.2000,4246.4600,4246.4600,6248551200
2010-08-11,4230.3500,4309.7900,4230.3500,4297.9000,4263884800
2010-08-12,4248.9800,4317.9500,4228.5300,4241.5900,4532665200
2010-08-13,4240.5000,4323.2500,4212.2100,4323.0500,4184958400
2010-08-16,4322.0200,4429.9000,4315.0200,4423.3100,5625259200
2010-08-17,4436.3800,4470.4600,4414.2100,4457.7600,5691170400
2010-08-18,4462.5800,4475.9200,4409.5900,4457.1300,5689720800
2010-08-19,4456.2700,4491.7400,4423.9900,4461.4900,5931286400
2010-08-20,4442.6900,4444.8500,4350.1500,4366.6000,5829874800
2010-08-23,4363.1700,4416.8300,4362.7200,4404.7200,4853665600
2010-08-24,4401.5200,4476.2600,4370.5700,4456.5000,5469966400
2010-08-25,4428.3600,4457.8400,4364.0600,4368.3000,5428540000
2010-08-26,4376.9200,4415.8400,4355.0300,4399.2800,4240153600
2010-08-27,4393.9900,4437.7900,4375.3900,4431.4400,3694988800
2010-08-30,4453.0500,4553.4000,4453.0500,4553.0200,5541290400
2010-08-31,4541.7700,4605.1800,4529.7300,4589.2900,5906349200
2010-09-01,4595.2100,4613.0900,4473.5700,4530.2300,6464895200
2010-09-02,4562.4300,4631.0000,4545.7900,4625.4000,6512640000
2010-09-03,4632.2600,4671.3400,4596.1200,4662.9600,6759264000
2010-09-06,4682.2600,4692.1100,4616.0700,4651.9600,6424396000
2010-09-07,4650.9500,4680.3300,4613.3900,4679.9400,5416786400
2010-09-08,4660.9000,4723.8300,4644.3500,4720.3800,5522650400
2010-09-09,4730.8600,4746.0300,4649.0400,4658.0100,7024723200
2010-09-10,4655.7000,4712.5600,4593.4500,4705.3100,6231407600
2010-09-13,4713.0600,4791.4800,4707.3600,4789.6900,6235460000
2010-09-14,4796.4600,4821.5500,4770.3600,4805.4200,6104981600
2010-09-15,4802.6100,4802.6100,4712.5300,4730.1400,6025628800
2010-09-16,4721.5600,4739.4300,4558.4000,4610.9200,5601623200
2010-09-17,4616.5700,4646.2000,4575.7900,4603.4900,4208531600
2010-09-20,4608.8500,4622.5100,4531.4800,4553.1200,3880639200
2010-09-21,4561.6700,4576.0400,4516.6100,4546.7200,2851413200
2010-09-27,4570.6100,4673.7600,4570.6100,4673.6000,3648028400
2010-09-28,4672.1500,4695.0400,4643.1700,4654.3500,4167801600
2010-09-29,4648.1600,4659.5600,4577.4000,4590.3200,3995348400
2010-09-30,4564.8100,4660.6100,4553.9600,4660.6100,3528902000
